                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.3994,                0.65328,                0.86682,                0.98154,                0.96986,                0.97996,                0.62555,                  1.456,                 0.6639,                0.87916,             0.00025559,             0.00025559,             0.00025559
                     88,                 1.4983,                0.68847,                0.85613,                0.98337,                0.96986,                0.98015,                0.65326,                 1.3374,                0.65782,                0.86421,             0.00024134,             0.00024134,             0.00024134
                     89,                 1.3549,                0.66601,                0.83766,                0.98337,                0.96986,                0.98015,                0.65326,                 1.3374,                0.65782,                0.86421,             0.00022669,             0.00022669,             0.00022669
                     90,                 1.2708,                0.62714,                0.84965,                0.98337,                0.96986,                0.98015,                0.65326,                 1.3374,                0.65782,                0.86421,             0.00021164,             0.00021164,             0.00021164
                     91,                 1.3075,                0.67606,                0.85361,                0.98337,                0.96986,                0.98015,                0.65326,                 1.3374,                0.65782,                0.86421,              0.0001962,              0.0001962,              0.0001962
                     92,                 1.2481,                0.64946,                0.88329,                0.99099,                0.97511,                 0.9839,                0.67008,                 1.2409,                0.65357,                0.85316,             0.00018036,             0.00018036,             0.00018036
                     93,                 1.2578,                0.63456,                 0.8674,                0.99099,                0.97511,                 0.9839,                0.67008,                 1.2409,                0.65357,                0.85316,             0.00016413,             0.00016413,             0.00016413
                     94,                 1.2481,                0.65335,                0.85611,                0.99099,                0.97511,                 0.9839,                0.67008,                 1.2409,                0.65357,                0.85316,              0.0001475,              0.0001475,              0.0001475
                     95,                 1.2885,                0.66234,                0.86627,                0.99099,                0.97511,                 0.9839,                0.67008,                 1.2409,                0.65357,                0.85316,             0.00013047,             0.00013047,             0.00013047
                     96,                 1.2888,                0.64364,                0.88957,                0.99099,                0.97514,                0.98428,                 0.6758,                 1.2159,                0.63856,                0.85053,             0.00011305,             0.00011305,             0.00011305
                     97,                 1.2006,                  0.647,                0.84027,                0.99099,                0.97514,                0.98428,                 0.6758,                 1.2159,                0.63856,                0.85053,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 1.2611,                0.64938,                0.89037,                0.99099,                0.97514,                0.98428,                 0.6758,                 1.2159,                0.63856,                0.85053,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 1.2504,                0.65361,                0.85255,                0.99099,                0.97514,                0.98428,                 0.6758,                 1.2159,                0.63856,                0.85053,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 1.3852,                0.72238,                0.85539,                0.99154,                0.97518,                0.98449,                0.67841,                 1.2102,                0.62526,                0.84964,             3.9402e-05,             3.9402e-05,             3.9402e-05
